APELLIDO1,APELLIDO1_0,APELLIDO2_0,APELLIDO1_3,APELLIDO1_4
HERNANDEZ,107662,83074,190736,
LOPEZ,98340,73822,172162,
MARTINEZ,92986,72041,165027,
RODRIGUEZ,84015,65003,149018,
GARCIA,73722,55006,128728,
MEJIA,66673,52413,119086,
FLORES,55002,45004,100006,
CRUZ,53795,42628,96423,
REYES,49138,37942,87080,
SANCHEZ,49234,34941,84175,
RIVERA,43294,34583,77877,
VASQUEZ,43669,30629,74298,
GOMEZ,37890,27989,65879,
PEREZ,38638,26071,64709,
PINEDA,35721,28837,64558,
DIAZ,34977,26769,61746,
RAMOS,34813,26643,61456,
AGUILAR,34448,26379,60827,
RAMIREZ,33406,24913,58319,
ALVARADO,27517,20999,48516,
VELASQUEZ,26186,21797,47983,
CASTRO,26026,20928,46954,
ROMERO,23908,19515,43423,
CASTILLO,23146,17942,41088,
ORELLANA,21971,17151,39122,
PAZ,20403,16796,37199,
MENDOZA,20920,15870,36790,
AVILA,20592,15818,36410,
NU�EZ,20258,15484,35742,
MURILLO,19481,15867,35348,
ZELAYA,19649,15283,34932,
SANTOS,19375,15511,34886,
PADILLA,19490,15351,34841,
GONZALEZ,19972,14299,34271,
BONILLA,18480,15521,34001,
MEDINA,17998,15345,33343,
MALDONADO,17927,14307,32234,
TORRES,18002,13842,31844,
HERRERA,17883,13461,31344,
GONZALES,17842,13169,31011,
ORTIZ,16833,13837,30670,
AMAYA,16635,13739,30374,
GUTIERREZ,17582,12433,30015,
BARAHONA,15749,13309,29058,
BANEGAS,15436,12903,28339,
ZUNIGA,15493,12629,28122,
AMADOR,15634,11848,27482,
ORDO�EZ,15842,11616,27458,
MARADIAGA,15616,11722,27338,
ALVAREZ,15185,11754,26939,
PORTILLO,14999,11444,26443,
MENDEZ,14857,10881,25738,
MOLINA,14375,10977,25352,
CASTELLANOS,13706,11569,25275,
PERDOMO,13773,10912,24685,
MATUTE,13048,10798,23846,
FIGUEROA,13016,10233,23249,
ESCOBAR,12882,10294,23176,
CANALES,12484,10412,22896,
PONCE,12559,9956,22515,
SALGADO,11779,10185,21964,
CACERES,11812,9413,21225,
VALLADARES,11907,9157,21064,
VARELA,11399,9600,20999,
FUENTES,12068,8874,20942,
CHAVEZ,11300,9388,20688,
DOMINGUEZ,12077,8421,20498,
ROSALES,10918,9392,20310,
FUNEZ,11195,8820,20015,
MORALES,11186,8821,20007,
LARA,11346,8484,19830,
RUIZ,10750,9015,19765,
ESPINAL,11397,8119,19516,
ACOSTA,10591,8652,19243,
MEZA,10490,8363,18853,
MADRID,10365,8211,18576,
ANDINO,10287,8012,18299,
ESPINOZA,10499,7658,18157,
SUAZO,9909,7894,17803,
BENITEZ,10201,7505,17706,
FERNANDEZ,9562,8141,17703,
MONTOYA,9568,8033,17601,
ARGUETA,9889,7652,17541,
GUZMAN,9795,7556,17351,
CABALLERO,9645,7695,17340,
LAGOS,9992,7330,17322,
MU�OZ,9288,7915,17203,
CARCAMO,9545,7386,16931,
MORENO,9113,7612,16725,
CALIX,9297,7356,16653,
TURCIOS,8872,7775,16647,
SIERRA,9220,6943,16163,
LAINEZ,9010,7054,16064,
JIMENEZ,8846,7107,15953,
GUEVARA,9017,6801,15818,
CONTRERAS,9147,6661,15808,
ENAMORADO,8610,7065,15675,
CARRANZA,9038,6537,15575,
DUBON,8661,6787,15448,
IZAGUIRRE,8841,6481,15322,
CABRERA,8698,6435,15133,
MIRANDA,8691,6441,15132,
PALMA,8766,6329,15095,
AGUILERA,8691,6225,14916,
CARDONA,7992,6866,14858,
AYALA,8126,6506,14632,
ALVARENGA,7731,6427,14158,
CERRATO,7898,6260,14158,
RIVAS,8095,6042,14137,
PE�A,7662,6335,13997,
FUNES,7740,6204,13944,
VALLE,7546,6338,13884,
ESTRADA,7834,5957,13791,
GIRON,7669,6118,13787,
OCHOA,7606,6125,13731,
MUNGUIA,7399,5999,13398,
URBINA,7444,5952,13396,
MONCADA,7453,5936,13389,
ORTEGA,7334,5878,13212,
ZAVALA,7380,5811,13191,
MELGAR,7217,5660,12877,
OLIVA,7420,5420,12840,
VILLANUEVA,7305,5435,12740,
SOSA,7464,5217,12681,
VARGAS,7173,5438,12611,
OSORTO,6944,5371,12315,
ZEPEDA,6954,5341,12295,
COLINDRES,6600,5647,12247,
ULLOA,6365,5734,12099,
LEIVA,6662,5418,12080,
ERAZO,6766,5134,11900,
BAUTISTA,6870,4987,11857,
GUILLEN,6397,5339,11736,
SABILLON,6258,5394,11652,
PAVON,6012,5329,11341,
ELVIR,6336,4949,11285,
GODOY,6222,4928,11150,
EUCEDA,5850,5284,11134,
DUARTE,6141,4977,11118,
MARQUEZ,6181,4866,11047,
SERRANO,6067,4955,11022,
COREA,6166,4822,10988,
LEMUS,6260,4551,10811,
OSORIO,6113,4694,10807,
BACA,6026,4627,10653,
MELENDEZ,5624,4929,10553,
RODAS,5896,4615,10511,
ANTUNEZ,5725,4751,10476,
PACHECO,6157,4172,10329,
SALINAS,5709,4601,10310,
ALEMAN,5822,4483,10305,
SARMIENTO,5855,4447,10302,
VALLECILLO,5652,4572,10224,
CALDERON,5771,4446,10217,
MATAMOROS,5546,4665,10211,
BUSTILLO,5620,4537,10157,
HENRIQUEZ,5669,4275,9944,
ARITA,5866,4052,9918,
RIOS,5426,4370,9796,
CHAVARRIA,5197,4416,9613,
ESCOTO,5065,4544,9609,
QUINTANILLA,5292,4110,9402,
SOTO,5190,4203,9393,
SEVILLA,5186,4101,9287,
ANDRADE,5027,4191,9218,
TROCHEZ,5087,4010,9097,
VILLEDA,4889,4052,8941,
SANDOVAL,4990,3905,8895,
RAUDALES,4821,3997,8818,
BARDALES,4648,4087,8735,
GUERRA,4908,3720,8628,
JUAREZ,4534,3928,8462,
BUESO,4781,3663,8444,
LANZA,4548,3776,8324,
FAJARDO,4422,3863,8285,
GAMEZ,4769,3409,8178,
CHACON,4543,3600,8143,
CHIRINOS,4524,3614,8138,
SORTO,4637,3481,8118,
GALEAS,4494,3623,8117,
IRIAS,4492,3530,8022,
ARIAS,4303,3662,7965,
VENTURA,4501,3435,7936,
CARIAS,4155,3696,7851,
MEMBREÑO,4420,3405,7825,
BORJAS,4153,3656,7809,
LICONA,4258,3493,7751,
CORRALES,4566,3158,7724,
DURON,4205,3450,7655,
NAVARRO,4069,3561,7630,
GUARDADO,4068,3545,7613,
TABORA,4279,3329,7608,
MONTES,4146,3392,7538,
RAPALO,3800,3704,7504,
ALFARO,4211,3218,7429,
OSEGUERA,4065,3150,7215,
SAUCEDA,4014,3191,7205,
SORIANO,4197,3008,7205,
CORTES,3935,3181,7116,
ALMENDAREZ,3897,3207,7104,
NOLASCO,4090,3006,7096,
GALINDO,3919,3175,7094,
GALO,3946,3077,7023,
ARDON,4007,2956,6963,
COELLO,3736,3110,6846,
MENJIVAR,3788,3047,6835,
FERRERA,3862,2963,6825,
LOBO,3532,3263,6795,
FONSECA,3611,3097,6708,
SILVA,3707,2968,6675,
ALMENDAREZ,3536,3081,6617,
ESCALANTE,3690,2815,6505,
CARRASCO,3743,2750,6493,
SOLORZANO,3610,2862,6472,
LAZO,3510,2961,6471,
CANTARERO,3465,2984,6449,
BAQUEDANO,3564,2854,6418,
BARRIENTOS,3499,2874,6373,
AGUIRRE,3803,2565,6368,
GALVEZ,3376,2979,6355,
CHINCHILLA,3600,2675,6275,
GUERRERO,3246,3003,6249,
TREJO,3513,2643,6156,
DERAS,3505,2611,6116,
GARAY,3257,2814,6071,
CARDENAS,3425,2638,6063,
SAGASTUME,3327,2644,5971,
QUIROZ,3423,2542,5965,
VEGA,3486,2469,5955,
CARBAJAL,3494,2454,5948,
ZALDIVAR,3153,2793,5946,
ZAMBRANO,3340,2593,5933,
PALACIOS,3275,2514,5789,
PINTO,3190,2570,5760,
ROSA,3215,2540,5755,
SOLIS,3108,2626,5734,
PERALTA,3265,2403,5668,
MANCIA,3160,2498,5658,
MACHADO,3118,2539,5657,
POSADAS,3255,2366,5621,
MURCIA,3035,2437,5472,
DELCID,2959,2466,5425,
BARRERA,2964,2431,5395,
CASCO,2937,2441,5378,
CLAROS,2914,2427,5341,
ORTEZ,2988,2345,5333,
PUERTO,2620,2601,5221,
PAREDES,2861,2305,5166,
CARTAGENA,3010,2065,5075,
MERCADO,2707,2351,5058,
VILLATORO,3030,2024,5054,
ALONZO,2990,2026,5016,
CORTEZ,2918,2060,4978,
CENTENO,2813,2139,4952,
LOZANO,2704,2179,4883,
TEJADA,2813,2041,4854,
OVIEDO,2634,2195,4829,
RUBIO,2648,2139,4787,
VILLALOBOS,2758,2001,4759,
CAMPOS,2753,1946,4699,
MENCIA,2530,2143,4673,
GALEANO,2552,2110,4662,
MANUELES,2879,1751,4630,
MORAN,2774,1842,4616,
MILLA,2676,1832,4508,
MATEO,2798,1705,4503,
ZAPATA,2286,2153,4439,
CASTAÑEDA,2480,1947,4427,
ALBERTO,2416,1966,4382,
YANES,2406,1929,4335,
DEL CID,2306,2004,4310,
BUEZO,2252,2009,4261,
CORDOVA,2514,1731,4245,
CASTELLON,2446,1795,4241,
FRANCO,2337,1885,4222,
GUIFARRO,2188,2023,4211,
UMANZOR,2387,1786,4173,
GALDAMEZ,2352,1784,4136,
INESTROZA,2451,1681,4132,
CANO,2390,1709,4099,
ROJAS,2464,1625,4089,
PEREIRA,2243,1809,4052,
MANZANARES,2310,1739,4049,
LORENZO,2820,1217,4037,
VALERIANO,2144,1879,4023,
LEON,2349,1627,3976,
ARTEAGA,2176,1746,3922,
AVILEZ,2231,1663,3894,
ZERON,2170,1650,3820,
GAVARRETE,2023,1688,3711,
SUAREZ,2168,1526,3694,
ZAMORA,2067,1540,3607,
GRANADOS,1993,1600,3593,
OYUELA,2079,1489,3568,
CHICAS,1861,1698,3559,
SALAZAR,1920,1594,3514,
MAIRENA,1940,1552,3492,
BERRIOS,1895,1581,3476,
MONDRAGON,1898,1530,3428,
MORAZAN,1895,1505,3400,
BRIZUELA,1920,1469,3389,
ANARIBA,1795,1581,3376,
ARRIAGA,1856,1469,3325,
PASTRANA,2025,1297,3322,
TORREZ,1849,1469,3318,
LARIOS,1865,1444,3309,
PAGUADA,1762,1538,3300,
MIDENCE,1953,1331,3284,
BURGOS,1820,1439,3259,
BENITES,1876,1363,3239,
VALDEZ,1911,1317,3228,
MERLO,1893,1332,3225,
YANEZ,1817,1401,3218,
COTO,2019,1181,3200,
BETANCOURTH,1907,1288,3195,
BEJARANO,1890,1280,3170,
FIALLOS,1671,1496,3167,
FERRUFINO,1894,1268,3162,
LINARES,1849,1302,3151,
NAJERA,1711,1424,3135,
VILLALTA,1831,1294,3125,
OCAMPO,1570,1509,3079,
REDONDO,1714,1298,3012,
ROBLES,1661,1344,3005,
PERAZA,1798,1197,2995,
CUBAS,1664,1313,2977,
MEDRANO,1693,1270,2963,
MERAZ,1613,1321,2934,
DISCUA,1487,1432,2919,
TEJEDA,1522,1371,2893,
URQUIA,1588,1302,2890,
BETANCO,1668,1211,2879,
NATAREN,1525,1343,2868,
BLANCO,1595,1271,2866,
NIETO,1536,1262,2798,
MAYORGA,1588,1187,2775,
SANABRIA,1536,1235,2771,
MATA,1688,1069,2757,
ARCHAGA,1548,1207,2755,
CARDOZA,1492,1242,2734,
CANTILLANO,1540,1170,2710,
LUNA,1509,1191,2700,
DOBLADO,1435,1261,2696,
AVILEZ,1529,1161,2690,
ARTICA,1447,1239,2686,
ROQUE,1532,1153,2685,
ACEITUNO,1463,1221,2684,
SERVELLON,1416,1250,2666,
DIAS,1498,1163,2661,
MIRALDA,1436,1222,2658,
AREVALO,1536,1115,2651,
TERCERO,1520,1127,2647,
TINOCO,1405,1182,2587,
NAVAS,1373,1204,2577,
ARGUIJO,1304,1243,2547,
CEDILLO,1375,1170,2545,
MORADEL,1361,1184,2545,
GEORGE,1559,984,2543,
RUBI,1374,1162,2536,
CERNA,1353,1161,2514,
VALLEJO,1492,1015,2507,
ESPINO,1491,1002,2493,
MENA,1406,1082,2488,
VILLAFRANCA,1284,1178,2462,
MONTALVAN,1396,981,2377,
SALVADOR,1267,1092,2359,
SARAVIA,1308,1050,2358,
INTERIANO,1401,943,2344,
DAVILA,1410,928,2338,
SANTAMARIA,1385,940,2325,
POSAS,1271,1036,2307,
MOYA,1345,942,2287,
CUELLAR,1261,1008,2269,
QUINTERO,1150,1096,2246,
MAZARIEGOS,1172,1061,2233,
VALERIO,1220,989,2209,
GARMENDIA,1250,948,2198,
VIERA,1226,962,2188,
VINDEL,1142,1032,2174,
TRIMINIO,1208,960,2168,
TERUEL,1203,959,2162,
ALTAMIRANO,1134,1025,2159,
ALCANTARA,1182,974,2156,
ESPAÑA,1233,902,2135,
OBANDO,1170,960,2130,
VELIZ,1251,872,2123,
LANDAVERDE,1175,943,2118,
ABREGO,1097,1017,2114,
HENRRIQUEZ,1218,880,2098,
POLANCO,1169,925,2094,
ALCERRO,1132,952,2084,
VIJIL,1133,946,2079,
VALENZUELA,1189,881,2070,
BAIDE,1036,984,2020,
SALGUERO,1171,843,2014,
DELGADO,1099,906,2005,
AVELAR,1046,943,1989,
ECHEVERRIA,1206,781,1987,
UMAÑA,1058,924,1982,
LUQUE,1104,867,1971,
BETANCOURT,1089,878,1967,
PAGOADA,1086,875,1961,
RECINOS,1123,835,1958,
MARCIA,1099,839,1938,
GALLARDO,1100,824,1924,
APLICANO,1182,741,1923,
ARRIOLA,1078,843,1921,
BODDEN,1074,847,1921,
DONAIRE,950,971,1921,
MOTIÑO,1061,836,1897,
MARROQUIN,1073,801,1874,
FORTIN,1042,827,1869,
