NOMBRE1,NOMBRE1_0,NOMBRE2_0,NOMBRE1_3
MARIA,318456,39531,357987
JOSE,258400,19314,277714
ANTONIO,16806,111761,128567
JUAN,108222,18415,126637
SANTOS,87789,26153,113942
CARLOS,68750,27025,95775
ROSA,57755,36912,94667
ISABEL,9430,69306,78736
JESUS,15910,60569,76479
FRANCISCO,44225,31503,75728
LUIS,40474,19969,60443
MANUEL,22153,22617,44770
ANGEL,14997,28590,43587
ALBERTO,3015,40516,43531
SUYAPA,7028,31755,38783
RAMON,15756,20900,36656
ANA,33905,912,34817
OSCAR,31166,928,32094
DEL CARMEN,1,31362,31363
MARINA,5048,26300,31348
JORGE,29557,922,30479
ROBERTO,10148,18576,28724
JUANA,26562,2153,28715
MIGUEL,23991,3782,27773
ELIZABETH,2040,25659,27699
PEDRO,23182,2174,25356
LIDIA,9026,15041,24067
PATRICIA,2561,21279,23840
GLORIA,20260,3104,23364
ESPERANZA,2261,20814,23075
FRANCISCA,13328,9736,23064
REINA,20376,2275,22651
JAVIER,5910,16676,22586
ENRIQUE,2675,19824,22499
ARMANDO,4588,17482,22070
MARIO,19653,2144,21797
HECTOR,20767,815,21582
MARGARITA,6712,13871,20583
BLANCA,19704,238,19942
ANTONIA,6189,13697,19886
CESAR,9248,10542,19790
JESUS,14320,5422,19742
YAMILETH,580,19066,19646
HUMBERTO,2932,16270,19202
ORLANDO,4066,14992,19058
OMAR,4205,14627,18832
MARTHA,16859,1192,18051
RENE,7020,10841,17861
DAVID,6523,11337,17860
MARCO,17702,35,17737
ELENA,3532,13960,17492
NORMA,16752,672,17424
CONCEPCION,6776,10547,17323
VICTOR,15646,1599,17245
ARGENTINA,2165,14909,17074
JULIO,16216,614,16830
LETICIA,2503,14261,16764
SANDRA,16265,346,16611
YOLANDA,3686,12867,16553
ALEXANDER,1731,14446,16177
JULIA,10311,5655,15966
MERCEDES,8151,7365,15516
LUZ,5767,9461,15228
ALFREDO,3935,11280,15215
CRISTINA,4860,10296,15156
MARIBEL,2884,12269,15153
PABLO,9031,5957,14988
IRIS,12421,2537,14958
DANIEL,8077,6704,14781
RAFAEL,8635,6137,14772
EDGARDO,2969,11712,14681
ALBA,13901,770,14671
MARTA,12698,1695,14393
OLGA,13462,685,14147
LIZETH,391,13545,13936
DOLORES,4487,9296,13783
CARMEN,11629,1824,13453
CAROLINA,920,12303,13223
XIOMARA,3275,9682,12957
ROLANDO,3555,9060,12615
DORIS,10898,1620,12518
GUADALUPE,5011,7502,12513
ARACELY,2024,10376,12400
IRMA,10995,1401,12396
LOURDES,8388,3779,12167
ALEXIS,3132,8929,12061
TERESA,6573,5424,11997
MARITZA,5309,6639,11948
ALEJANDRO,6101,5815,11916
ANGELA,8321,3430,11751
LUISA,3689,7793,11482
ARTURO,2431,9049,11480
MA,11337,96,11433
WILMER,10499,829,11328
ALICIA,3534,7598,11132
MIRIAN,9546,1529,11075
RAUL,7235,3759,10994
ONDINA,1314,9625,10939
SONIA,10145,721,10866
FERNANDO,4157,6698,10855
VILMA,9904,849,10753
NELSON,9793,891,10684
EDUARDO,4308,6290,10598
ELSA,9254,1189,10443
ALONSO,660,9765,10425
RIGOBERTO,7912,2447,10359
RICARDO,6551,3796,10347
ANDRES,6336,3964,10300
GERMAN,8787,1474,10261
SANTIAGO,6172,4073,10245
VICTORIA,4981,5257,10238
WILFREDO,7375,2828,10203
MARVIN,9713,481,10194
MAGDALENA,1513,8629,10142
KARLA,9946,21,9967
ESTELA,2463,7208,9671
MARCOS,8080,1480,9560
PAULA,7420,2118,9538
GUSTAVO,6274,3199,9473
LEONEL,2707,6748,9455
REYNA,8466,788,9254
CLAUDIA,8979,154,9133
TULIO,1112,7977,9089
LORENA,1775,7280,9055
MAURICIO,2617,6428,9045
ADOLFO,2430,6597,9027
FELIX,6736,2190,8926
DIGNA,7610,1314,8924
ERNESTO,3354,5494,8848
LUCIA,5649,3149,8798
MIRNA,8456,338,8794
FELIPE,6178,2327,8505
DE LA CRUZ,0,8470,8470
RAMONA,4379,4040,8419
AZUCENA,788,7449,8237
DILCIA,7408,726,8134
RUBEN,5683,2310,7993
YANETH,377,7556,7933
EFRAIN,3586,4285,7871
EMILIO,3376,4444,7820
LILIAN,6386,1398,7784
GLADIS,6636,1135,7771
EDWIN,7536,225,7761
HERNAN,3537,4064,7601
MIRIAM,6721,831,7552
SILVIA,6744,808,7552
CONSUELO,2215,5319,7534
DANILO,1804,5668,7472
MARTIN,4858,2598,7456
TOMAS,4851,2552,7403
GERARDO,3895,3490,7385
MELVIN,6913,370,7283
KAREN,7190,72,7262
GLENDA,7076,66,7142
ADA,7020,112,7132
GLADYS,6221,867,7088
CATALINA,3985,3019,7004
SAUL,4279,2683,6962
FREDY,6459,482,6941
JOEL,2697,4238,6935
INES,2450,4465,6915
GUILLERMO,4453,2333,6786
ALEJANDRINA,3672,3097,6769
VICENTE,4565,2204,6769
EVA,5372,1383,6755
ELVIA,5331,1405,6736
ALFONSO,2456,4252,6708
CANDIDA,5807,780,6587
HILDA,5635,920,6555
DENIS,6120,352,6472
ADAN,3517,2919,6436
NOE,2889,3544,6433
AUGUSTO,911,5492,6403
WENDY,6329,51,6380
ELIAS,2964,3410,6374
IVAN,1500,4841,6341
CRUZ,3564,2777,6341
DOMINGO,4499,1839,6338
YADIRA,1440,4886,6326
ALEX,5749,576,6325
TRINIDAD,3076,3224,6300
AMPARO,1844,4391,6235
ZOILA,5761,423,6184
AMILCAR,1983,4180,6163
ROSARIO,2083,4030,6113
SAMUEL,4099,2009,6108
RUTH,3814,2269,6083
DELIA,2966,3082,6048
SALVADOR,4065,1980,6045
MARLEN,3842,2164,6006
ISMAEL,3229,2766,5995
WALTER,5407,524,5931
OSMAN,4537,1389,5926
ANIBAL,1603,4303,5906
VIRGINIA,3228,2592,5820
SARA,5304,505,5809
JOSEFA,3223,2530,5753
ROGER,5344,379,5723
RODOLFO,3434,2216,5650
NORA,5278,364,5642
AGUSTIN,3562,2074,5636
MARLON,5415,203,5618
ESMERALDA,1449,4159,5608
IDALIA,1379,4175,5554
PETRONA,4072,1462,5534
JANETH,400,5079,5479
DOMINGA,3772,1704,5476
ALMA,5404,68,5472
ANGELICA,2518,2917,5435
JULIAN,4451,963,5414
GABRIEL,2618,2745,5363
GREGORIO,3970,1363,5333
EMERITA,1581,3735,5316
ISIDRO,3296,2003,5299
GILBERTO,3464,1825,5289
NATIVIDAD,3114,2156,5270
ARNULFO,2460,2684,5144
BERTA,4639,503,5142
HENRY,4835,276,5111
DE LOS ANGELES,0,5107,5107
DUNIA,4935,139,5074
ADALBERTO,1216,3848,5064
DORA,4636,427,5063
ESTEBAN,2871,2181,5052
YESENIA,1437,3611,5048
CECILIA,2104,2891,4995
NICOLAS,3471,1498,4969
EDITH,2527,2412,4939
ELVIN,4769,155,4924
JOSUE,2669,2242,4911
JUDITH,930,3964,4894
LESLY,4716,143,4859
NOEL,1484,3363,4847
EMILIA,2212,2634,4846
AURORA,1903,2927,4830
TOMASA,3425,1390,4815
LUCILA,3033,1734,4767
ADALID,631,4117,4748
REINALDO,3000,1748,4748
NERY,3443,1286,4729
MARTINA,3455,1270,4725
MOISES,3122,1580,4702
VIRGILIO,2996,1695,4691
CRISTOBAL,3134,1536,4670
ALBERTINA,2188,2468,4656
BRENDA,4561,75,4636
DARIO,928,3651,4579
ELMER,4283,278,4561
ISRAEL,2151,2383,4534
MAYRA,4468,63,4531
AIDA,2929,1562,4491
JOSEFINA,2614,1870,4484
NOLVIA,4208,266,4474
LEONARDO,2554,1913,4467
GEOVANY,432,3993,4425
ERNESTINA,2326,2065,4391
SERGIO,4044,344,4388
DEL ROSARIO,0,4377,4377
LAURA,3739,628,4367
ENMA,3659,707,4366
ESTHER,985,3325,4310
ELVIRA,1810,2499,4309
SUSANA,2426,1878,4304
ROSIBEL,1646,2630,4276
ALEJANDRA,1963,2308,4271
DE LOS SANTOS,1,4242,4243
PORFIRIO,2888,1351,4239
REYNALDO,2551,1651,4202
